"full.sample.name","Timepoint","treatment","cage","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59"
"TP1_A_1",1,"A","1",-65.6521886348386,210.81334413861,-70.0651833763852,117.826668383577,-76.7274812505889,88.210986753572,-321.797669301914,139.990305604655,-122.503487894481,75.6660716211512,-99.0476761566216,278.694405288453,-224.323709328065,102.336984958085,-157.493756119801,16.6807459721721,36.5549167598638,93.6768178339958,-177.859766623462,187.756565073338,-321.786711775668,-78.6194779430765,-25.5805834667691,-23.2982293880449,-27.977610018787,92.2837695163036,147.789931745484,48.7822817690704,-258.992002901159,-367.320038767574,-26.0811848228568,-127.440868887131,273.637771962764,84.436895413196,-59.6360399884736,-117.046648858465,-115.325523530856,-179.649273671715,-403.839586962051,202.202697255675,220.321904201638,228.572984208825,140.260303520593,-4.05812595422291,-155.429867736087,-18.5614714328462,173.839285909937,75.3656142151733,38.29196396366,20.0278969056699,70.8180665713533,-81.2938396583256,-9.98550797963104,-57.0398760764573,-80.1973863405106,136.452781105985,-141.031461077802,97.6809580228944,2.74888683864105e-12
"TP1_A_2",1,"A","2",-118.276748159771,118.322722582712,-408.171760815311,274.831313321791,81.9484928593299,-244.264532667042,274.349340930508,-41.89798210914,3.2528624633519,3.22819971758995,602.214124611219,-326.041798225068,-123.407421875978,164.725738025243,-326.794234750753,-88.9901253386111,-227.231856055801,188.264543300623,-265.955646664461,60.4349157702259,-125.621804177045,-46.82326417452,24.5644174800069,-91.3587483348149,-89.5564103063228,270.471370896777,154.050057128365,34.4634901105475,147.99275302799,195.715325391254,-77.1298730813583,-198.974279413322,-34.0353377116862,73.5625679272729,80.3335023235267,-108.945703957286,215.427151204538,60.2793141027672,-127.544834471413,-66.714530015797,-174.942836601489,80.4706208692055,-48.7589217706111,-15.7383741705222,-11.8844905650255,-17.5037309770831,45.1842932917924,-2.12421900264891,-12.4876715665052,-9.59933170902922,-235.304611822416,-296.365987535359,192.48847613202,-63.4227612982843,-18.1013441691572,-123.678852267779,125.716178111741,142.847241979839,1.82710286787333e-12
"TP1_A_3",1,"A","3",-266.414723197869,209.749081147031,89.130685685181,50.0007287726368,255.647786821375,127.450526264383,158.047680150636,-5.84215579933972,-141.094080741474,-116.733833049106,264.458302853965,94.1321804598493,-194.077105959731,-37.7269004987132,-59.4139938128927,514.459122923329,-250.356497662908,-50.4296734737518,-108.755449884752,-86.4872878459011,24.1541104817412,-389.202509380456,-295.27338961429,1.65463121253014,253.453555765942,-291.061020837076,-196.320808339715,-138.484424010945,95.0296892713466,-216.945199325537,95.6694933790856,-126.82751694366,29.3216540054382,120.533985607443,-204.303996218511,88.5173598770009,76.8442860492003,64.2890760843527,66.5904872779095,-46.0287291958253,20.2829291575165,38.3590184392067,52.4345059428846,-116.423922485555,-58.2783021476037,174.038527164663,-197.720788610374,21.0417659954837,177.137064943777,1.61873993442884,-193.412660762709,74.1645821330988,52.5798354843392,86.3300921830068,264.582108748718,139.164785322965,-51.3635366333475,66.5780753782262,-6.53920927823348e-13
"TP1_A_4",1,"A","4",-219.659644627451,443.082055782396,-138.003032173264,356.555255932328,-189.9565001054,142.436664961313,-33.7246712322901,46.7263780870953,-24.3643421158804,11.3193478296533,247.262764836718,132.212467803487,25.7041744419177,-297.953068147263,214.799447006394,-41.061465873331,236.48101705426,100.365520511761,31.742597048881,-169.885800281537,81.6011052219886,-78.7635111136297,-36.1203163991104,-33.882998964955,-436.184879454422,-228.069606454465,61.4916968425872,112.003362891424,21.8521957100916,-30.110652757362,-265.202657550884,-23.316950448543,314.594960448469,326.06558676722,69.9556758395289,35.1546189771037,122.606310017761,76.73627720306,-39.854485788489,177.880019781119,73.9272737156079,-52.0719158794456,-20.6857509433188,206.919166341315,260.181718467508,72.5118737307276,-137.992478545087,-131.934274491742,32.0716698809602,165.680034104128,48.4123698527335,57.596822327183,188.087010477518,-33.9709307189384,13.2798015519062,-78.0298905942487,28.639585978356,-209.597107488781,2.27190825831045e-11
"TP1_A_5",1,"A","5",-223.536489482359,374.552009135791,-392.187006087224,304.621812082969,-334.752714779312,-242.304303601165,159.740147718702,108.400277224915,154.035508721044,-165.942614573692,-16.8052530357339,-174.838868968302,217.229318142911,44.5120013398885,303.124637903992,29.7306172623565,84.3910960157594,-125.476078887071,-105.571122782848,257.966758639543,-277.886039701953,170.443938215695,-1.25389324121655,278.34687131187,12.1046026078452,-133.1624692333,-3.38439671318816,-16.6402346987109,79.9252863989503,6.44056161385526,84.0187953777735,264.702082425761,-243.872858429762,230.543857516611,115.931913413991,-149.636644731757,-93.8015915376185,-40.6259994604164,7.85025003880089,-47.4519047431583,-171.394974094686,147.314467867651,-84.1203383126402,65.3721992266401,-387.680740269159,15.8646480038581,-178.342561326025,1.00548185311986,164.035267832957,-21.4996836256595,135.363613745946,78.2605349547176,76.2821439613694,-63.560720572549,55.4940118657737,-138.556856177958,-189.971940055829,-13.3883630069979,-1.44797346855741e-12
"TP1_A_6",1,"A","6",-133.803835604894,390.540194129726,-111.801797856857,-154.294933591356,21.0448235280544,-149.424154359138,-133.222859568353,244.031059374383,-213.372677768544,131.49237368838,-36.0766985780358,7.07038149722742,-94.9771906093272,-72.0816803805296,-95.2348055443078,80.8478378748973,-327.36351037163,99.562435296003,101.405545904156,218.662018065672,228.50918531354,162.810953283354,122.439120879438,-291.185166203594,-99.2379346491208,-29.7307906066893,30.6213063147278,-139.898144516567,-24.7407682459481,40.4452935025568,53.5472602136912,-7.79435217967162,27.6922426923998,133.113603598313,155.217684931574,39.6950411202274,-58.8928933628778,183.804069389607,-294.528362569648,-221.495975696965,162.119853684428,-314.057867374657,29.7423288731395,-49.1108956817251,-37.5346211480983,-189.522745005089,-86.2208411518807,39.3150071828628,42.4723836358881,-337.016274890525,-122.408329091206,304.80329307241,0.843450723334172,-71.5128617479921,-95.9202386105351,-77.9117060142078,-50.078887314416,-21.6570954914478,4.55214880547283e-12
"TP1_B_1",1,"B","1",-187.566859463306,409.970100137554,656.843748708824,267.47872936112,381.633733864911,259.418634897392,18.3005349071299,-38.7212996439657,24.9872300628695,-86.3144089705539,-125.067786553565,169.587622653333,-45.2223844238552,146.91937965182,79.2016759095662,281.185057904842,9.6342153613147,109.803837112789,-95.0850923234815,71.6852841641055,-157.761782046271,22.4762744751975,98.0073494449291,122.300584056494,-154.129621537753,211.917241963835,-31.6916002180102,-48.249521290092,4.65131490563538,22.5155820149062,98.9265939151379,-162.692021819927,-186.438409413461,-124.20775832087,160.77759920126,262.323203594771,15.4602379825826,89.3045494586508,268.875171578261,-31.6676125194909,-23.2010441010608,37.7082339070682,62.2941504945647,-128.680923400069,195.616817828606,44.8405330490595,47.8965064708989,40.6688819598492,145.934315361351,-131.933859606891,68.0474948393795,-149.761046940726,162.500179179252,-162.199598817329,-244.298455503028,33.3145981746334,-249.226028570011,-159.176724352705,-1.07270256045899e-11
"TP1_B_2",1,"B","2",-118.158675160556,615.271832668965,392.321881449068,230.697480446296,94.1525339808611,133.836656187831,47.411846820184,263.520253419739,184.20857866349,48.6173568626059,132.711535861715,-186.146921559451,138.197241692003,-170.602918346594,-143.124796162544,8.457657452026,-28.9185042269816,-99.5021625527217,48.264117340664,-26.855523529625,37.2794501000863,107.319325865264,6.77789572403907,36.7526573859106,-200.425132216756,331.2094795135,-207.950036381497,372.288945920388,126.250253701038,-227.728515337945,-5.41341203727098,209.825166227608,-42.563326999908,-139.140972299787,-82.7630572940507,29.6591410541148,-47.4174171555007,-96.8793257851026,-52.2391250770841,-4.18859237507034,-152.508601123234,-46.548453362473,80.4685757333276,-54.2887932047848,-72.2098428953925,64.3623314762084,170.811166808161,-354.584287251983,-170.166235055517,94.0828361070854,-264.41815517171,177.880064612449,-115.283619492177,89.6411630599908,25.2990954936916,30.2274976676259,-120.717217595337,18.0388810998016,2.47661279505207e-11
"TP1_B_3",1,"B","3",-372.748720854432,589.332754888126,432.988702647379,-157.395703802628,145.878840955619,-390.383177266758,-15.4346073519641,139.760082437267,257.423615344355,-184.70538452185,138.105953458118,-139.124017743945,-1.96454601802844,-3.90094935883278,30.6574729631828,157.656778262866,53.6466559258243,133.065331782387,286.003448642874,25.2717151382987,-66.6428249622425,193.773652881823,-230.528715485492,-190.233482488147,49.3658973039623,158.94473154267,-150.905480667012,92.9021180928945,-27.9725606433855,174.77659522106,-29.5158972664658,-125.986583092173,206.915675082938,-352.292922087014,88.8788601860808,-16.5732516104268,36.6409330999383,-94.8596066019288,81.6549362630338,187.248192445649,132.33881134446,-40.5113083851813,197.929155643391,149.696734476135,-199.842672380743,-30.8206205855991,-177.164243446987,269.878662094789,110.148938303875,86.5003057803571,65.9002436307607,-53.1079471628668,-117.300912853805,112.709836919954,41.2664514946628,-175.855210892485,127.510079475638,-41.564548841283,-3.78131553846472e-13
"TP1_B_4",1,"B","4",69.0753603275683,67.2926742546803,99.014415856558,-65.1068010264058,90.7180182848702,-295.92295136472,140.375233048271,-103.971601369547,-365.79958426144,109.481507101912,257.727093187657,-46.2882843587958,-29.9841765599587,-149.255179891002,179.60263865849,131.681751783294,21.9831456802568,-71.6233241920893,-60.3678316713544,24.6060164183622,-228.412370189886,-43.6319808577901,25.9082921857578,-26.8575805048111,-55.6951243310892,38.2386945554134,-11.3913548511521,172.550113765857,-164.24993555118,-75.5972411165525,-72.5003208061541,35.7635916899403,113.332576346277,41.2312870548585,-166.282178164076,-18.7101896997593,28.3239859106508,7.00277878800488,201.141002085856,-238.804675082657,-54.9910082189404,-86.8249959288952,210.687795826638,-49.6450245240927,147.926961134131,182.574773305805,48.1580856886249,19.6034065207653,-184.959087773317,-110.623220281332,356.43079344571,114.605455376753,-76.8371733873555,-249.127469612027,60.4968038576183,-167.398924302653,64.8089296227465,313.643086109589,2.2877224203563e-11
"TP1_B_5",1,"B","5",-173.457488606817,271.954742993502,58.6295087316027,-34.4646725963184,15.0130960494789,-89.7725369883517,-45.9248224133395,-52.638034965921,159.672194968888,84.3673387917613,-233.801084888929,-38.4746854659664,-107.472684130823,-372.002320745126,113.876306817417,105.137738818742,169.458632730674,149.020168877707,288.009626213231,-42.1786987357579,-103.340215414629,227.671488222452,239.938881540434,-7.47125346494675,-83.5856063904933,-89.2970323852675,-108.508239196482,-417.183126681061,-47.0487391352606,-246.13222773399,-296.553523214498,-128.830904207217,-437.169816339765,28.9484972161728,-19.3598158034489,-310.301222663886,11.809090173053,-102.854177314269,-108.86858803536,8.12696166876282,-60.3468270366512,-17.8840042473431,-13.5514949869628,-36.8399485017229,247.882042575688,90.99181379523,70.5158452994751,2.19078077870137,110.456756704764,-63.8531623615039,-87.4463010178355,-165.414268303441,-162.20252723517,65.162002490255,117.198708401232,-33.577213066174,71.5576586174634,74.0170563691631,6.10069091598608e-12
"TP1_B_6",1,"B","6",-151.585818425499,333.443355137291,300.965336277118,52.9568845415497,228.578299035115,-181.049692756748,197.237683398707,37.0885745797172,51.2188910488929,367.048422332964,18.7939374616313,53.9663634986533,-54.5567120836347,-273.983294982666,339.288710189216,-233.422326583622,1.56343869310548,-340.607055295338,-463.184070798606,87.6384575653061,407.56571198526,246.028643718345,-105.584535442963,310.359099938764,218.667686497602,158.488853618853,51.3496905917432,-91.6584360832857,145.627706921468,-146.226821831404,137.62567948996,8.30172651368475,140.838451321231,-107.20397950802,-7.15878920866856,-87.9728012271406,102.870666209872,52.1410552336523,-64.7935258177233,-49.2784730728784,64.2043963375559,222.793349275662,-22.6621390637005,100.677877702452,178.266672598637,-194.725708203652,55.1200434028697,43.2087841816161,2.55483463760442,-158.501932580928,112.415004633147,-2.75272630489016,111.454358834633,169.907664414573,74.7364342232758,47.9832450111231,103.372379707023,3.081041220416,3.74786838933452e-12
"TP2_A_1",2,"A","1",-142.222904834458,143.858890015095,180.943892873358,120.009342719344,-83.9603989370632,185.893782394929,-71.7295906345891,175.303416207127,-204.001523377604,280.670844824049,-121.701181563666,119.130263289434,17.4081509735135,23.5385592145469,-4.21751883791837,160.06473173481,-119.321837340813,-140.281673846981,-3.50772895051065,-66.4666298696283,-95.9925038276615,24.3402970210394,-218.220399251659,161.066989366051,76.6795445531434,-141.414901257229,8.74455553223039,-85.1169370112807,-113.830372491558,-160.719016475092,245.016962623671,-42.1306972967141,-189.6954777548,-60.6177084070587,-26.6349982286323,-107.130165677767,-228.249494500238,209.256779596733,-67.6234908487681,-59.4053841598059,-166.602339679155,-133.70199679048,24.3202750030935,196.820566583626,-96.3894529756638,106.348364054578,80.1452948790973,85.6172329435722,-111.318538051052,263.78993740173,-88.4020049588979,13.7013917322939,102.490479751,-142.520246146198,-264.624377111786,-28.852019563739,378.408505861718,-91.6745437438861,7.32060310808247e-12
"TP2_A_2",2,"A","2",-150.54011656364,307.896692518023,-134.624228744349,325.28936398975,-104.890831230885,-0.582558576579575,53.5969564884394,99.7272683753356,153.924410668383,-49.5872762277247,43.1803920936552,-64.9078006499294,57.9432216269188,60.5221901551712,-78.6881939269383,-34.4318350241375,72.6087321618192,60.0720959929203,132.393076262464,-69.7490383248892,37.1655702133622,58.7983513798415,-15.9757030912373,-12.796764036816,-18.6299115608555,-33.5628550234339,72.8507741202335,225.517765037267,19.6806272396005,96.7451853713078,4.46826849724863,-20.4725000018238,-169.060971961824,-62.5643436872615,129.237778434303,23.6243498865068,-176.03327330654,42.0018830565694,120.644537689386,319.560553316735,45.077965393299,-145.729121811452,-153.682947861532,-87.7572611539152,3.22114779565334,-165.513821352512,40.9628004028617,-15.0658388093793,72.6108732739822,-133.909521244548,120.731424462774,60.2166606254846,88.161671411926,-223.810341705789,204.63676314704,454.178925763021,216.615833123471,175.11650861275,2.70615474473601e-12
"TP2_A_3",2,"A","3",-252.309515183262,272.221562627155,-62.4475945081328,-18.1406816174279,303.339051679342,-35.1166436456774,38.7525992418659,148.056649660223,97.0451176277612,-210.344413796203,-73.668172184835,-21.7054872713951,-74.9342344114643,21.7418274846767,140.346528288404,138.261628667109,-188.512142702038,153.617381554707,-94.0244907986405,35.3740046955435,-11.6123071637038,-312.494259347995,99.4620020051827,192.323940026726,156.377286746784,-172.844349309634,7.60711786377862,-24.589740633789,19.8500514805175,231.195888897951,154.525159504967,10.492869731494,-33.3208993203984,-26.5697226001488,-143.224834260398,-4.74368508331078,269.395439924633,106.749116332657,-87.781777162159,250.392153128142,85.7760410546718,55.5774788012391,-300.483509485075,29.8065285248919,98.3946495803807,-205.186949521383,144.195689441376,-168.57328719302,20.2968386728136,134.383946436261,63.1823045389114,83.3534147303833,-382.935222381833,-145.025626441437,-135.079388370887,-158.00939473713,-5.32174906726578,55.962266993637,-4.51651238110584e-12
"TP2_A_4",2,"A","4",-227.204761844081,-167.733372384483,-111.354649450555,159.566890588846,-319.854491338514,-54.0740734098138,-22.7508737533233,-411.59234029283,469.530460595079,332.491004230613,466.634294168043,429.031957860451,-287.411264417483,-230.735321505189,197.718265423117,-251.111450489017,41.4541594271732,9.12634589972362,-10.1862698322966,131.767884697706,-209.577312627012,26.5184673243392,-120.796517610862,-370.958993473743,-98.9242699543168,-309.081932438695,70.0968770195931,-81.403970424453,55.205148753191,95.6759557145,418.403267451756,-78.5859725449072,34.0780831721287,-265.141323890502,141.818358586903,97.3135748702393,-10.1956976719327,-138.351497965714,-52.3643062995472,-77.9169380762448,-186.486108621462,-45.3668444230471,-78.0268989289804,-119.881869075356,14.5215609940527,84.189280287928,123.742164690975,-54.0382645863001,-5.23836895141704,18.353225904086,39.0880897933196,41.80290933346,-95.9092857602366,58.1723449217428,15.7558749278941,30.2488633112384,-59.5190942765534,-42.62147580156,6.49468190816113e-13
"TP2_A_5",2,"A","5",-114.132846634499,130.623502721891,-318.720496905457,198.621609129075,-300.316040468546,-171.218898030726,145.111546572161,218.248692396814,90.7983684162303,-90.6946175041048,95.2819272467762,92.3271604206703,-40.1151494762471,-26.2411122181541,74.8885754194963,134.552980219172,2.46864523258183,133.330866060456,-141.956578562788,-40.4682277124706,91.3125713352643,-17.6645051978616,30.212899481001,50.2800825235227,-0.0802367600937766,-47.7971097327832,48.7693872958002,-143.809041066011,-22.9047176006626,25.9839991133422,-104.627152823105,-173.203138927709,-305.055597614648,18.9396261485908,-120.272734280415,270.616755523837,25.6232490038604,-182.583076739881,96.9451320945443,-286.223883383959,301.084641869336,-210.424396048464,117.31614009302,143.41905420474,-128.544906348628,-268.819605435507,21.5439226428732,-66.2450117514009,-300.674570923098,230.964180824904,124.291660308261,-138.177694106626,33.8586934049534,155.723225847492,-6.50138172445958,115.202005478757,-89.0918529029114,24.3666692885323,3.67075727453203e-13
"TP2_A_6",2,"A","6",-44.0203491202182,170.356810078904,-283.664345173336,19.9475615963019,-289.286698492743,-6.54965683508014,-71.3490819210507,216.600277256145,-437.661060946272,292.566403504538,-370.972097106076,211.640505816248,-127.250863097165,169.039270299348,-307.541754886222,22.1601503825787,-25.8701796687374,296.626677730373,-181.580449188489,-284.564609642949,149.496206393259,318.229262726103,-104.778348554157,-70.3188645307658,288.793789626142,-30.7667712497714,-264.40070731009,309.328332110186,18.2457893199801,-70.836535192531,94.3150981841511,-21.9097592962664,13.3929736143614,177.543996807239,147.388209843871,12.4992111286741,171.732277597224,4.3439537494865,9.6527938085219,45.4102294249855,-167.03599443289,-154.728923869114,-107.837864875614,-192.27257277769,-27.9468649393122,101.722464630697,15.110772015773,-66.7454734772981,-1.15063320538615,-38.3214310044231,229.516394546147,-202.794007960216,-97.1208515843024,133.12202886352,54.1991719860829,-88.2214083995506,-10.5236783543282,-108.957047183648,4.21298434506723e-12
"TP2_B_1",2,"B","1",-173.457879093325,7.57781625973683,398.820692829542,55.14858574362,-18.1389218067365,86.7871589173188,78.1042396311382,-122.928451622046,-204.989406219028,-50.5023286490323,43.598062343843,27.3400592554486,134.675321681804,221.914094075323,122.555407843894,-204.564442203563,61.9269054170506,-14.2849007189829,-85.6685456557949,379.536987190604,-165.853312800486,123.823859618436,-70.3403514789229,227.075931551403,83.2734852521694,56.3817091724451,451.932138484606,-71.2817543276667,-90.6460044654088,-67.5143263584915,-54.6211104408421,42.4875673441562,149.725784946721,-6.54490098591766,10.1692485066814,-43.1069788873376,-134.272576589094,183.174116843097,98.1312068789137,91.667138371328,170.999650522353,-355.608510765821,-230.662237109062,-197.6794572868,39.9370718189286,143.911881570157,-134.367092497494,28.0850288765004,-196.882740248051,56.3040239319345,-172.58315442309,-144.56572690345,-144.801534997354,76.4660613070739,183.722130170394,-56.8535601796649,-69.4089228479397,-41.8975942347031,-4.9522465121743e-12
"TP2_B_2",2,"B","2",-108.407143009145,259.699547231885,166.934476329816,54.3587331952437,64.5527629869798,-119.94357300434,85.9191895106059,256.58942734002,-26.8841885861848,-41.156496348481,-149.71952361262,102.712827231948,167.761644258352,-137.380148467946,-165.028333355256,-225.663555049434,36.6344981476214,-249.215797261729,147.106156583306,-286.144866173778,12.894382483119,-217.746386646427,-75.8883868075892,-118.547580737807,-11.8753167155271,-70.225881257269,217.298170126128,-29.2082516208202,69.5651635271932,-8.2898432800214,-51.3717551204246,176.808415776395,114.771995421836,43.8684487008736,-44.4712895070187,-192.546997209245,125.227943476866,-107.207798130365,105.581681194835,-43.7018837223957,-219.086881284346,-201.707591656808,-139.770799114484,-78.9773881953905,61.0392375811606,-80.1454019291369,-96.5756938563102,257.474633747798,86.7453852578091,90.8622566057388,11.2666136116518,-13.959720004053,43.1131890786773,189.390506158604,-340.250316801596,126.391287325916,-171.722672639786,262.961343186033,4.71836805737702e-12
"TP2_B_3",2,"B","3",-122.496707402233,3.74100478020672,-21.4407202932816,-113.720557913529,215.076675557412,-176.047069276154,63.2565952067827,134.217693763567,-192.737693890997,-280.683922012208,-148.78471210701,-158.124975212981,-365.225971549633,-70.6288936660071,-248.600252747979,-310.659693209178,127.603260057337,-0.0568965767354417,64.1221817040074,240.499772459119,-271.051755400134,110.135598205645,-223.356968055843,-18.8152788734679,45.8309921891725,20.7996434861376,-3.1527220077021,-217.142121381342,-115.321940700721,135.5935097876,-135.839357812548,80.2698295522393,-16.0195449755519,-39.2549500876652,-217.159557104592,-15.0481516944602,265.906721606359,-176.424686597284,94.8571204978139,-42.6562804796845,84.5520970053163,93.9236796043684,-97.3146023476585,-136.001381011741,-84.9433162443409,174.504739910169,-98.940736592684,-258.233780819896,-67.1429069151105,-128.704695576706,73.4313670840165,159.196502872218,114.809783323194,48.8323713193796,-182.540649709165,166.53019468415,188.522517992868,-193.361597563998,-2.92631576522678e-12
"TP2_B_4",2,"B","4",-9.16281680645939,51.7336636684743,-13.0645946528861,-226.10501870449,-42.0533947889395,-280.561737014546,31.3436377831223,-310.914338349322,-333.687189359941,176.038937032057,-60.7142204535069,-131.347893654588,140.272563169528,-276.221488861508,236.552081642653,126.292158408928,-42.1267167031997,4.96693040969099,-6.23438090309918,-232.698005380373,-166.669378514252,48.3961391358224,-9.64605244058375,-84.2312293715565,-3.14521688167124,44.114715260731,-158.184930431329,-58.7159514505862,-84.1066375891513,150.955096788966,152.634790029692,334.694267792554,94.5609624179078,147.498356626433,-123.844093507273,23.8974831015602,155.47882468627,-173.008505341435,-0.281429417342369,87.5812592474899,-57.5016802488105,26.2915791645707,0.496792707867863,87.1051040163739,-21.476666764487,-127.537921252137,29.9558008347347,249.501695412237,-255.874959637864,-109.64185806286,-243.955512422376,-168.528476899155,-61.4101105123153,-239.203239357618,66.2576204723857,196.660781381358,-84.7756967610011,-212.842547462307,3.01227686999757e-12
"TP2_B_5",2,"B","5",56.5325566004175,106.328326860716,6.63988754693829,18.0736712779698,-18.2434350875143,-143.342445535299,3.75910010121733,19.7824029935616,-82.6713036005103,219.364869752784,-153.868448523912,317.348127787012,-205.19940526033,-129.875490464812,-263.828160555085,-186.109924266096,21.0797668360145,208.310085890451,154.738119632518,74.7788787343354,-75.2206186059659,-49.7587369223344,296.796742871248,47.5704707779978,-163.274175585786,-30.7126079516663,-46.6557351186676,-92.9279038026677,-18.0794043005052,-57.5448482736669,-47.3955744609443,348.147221409544,107.010584029422,83.8790723057939,211.576941352889,188.267858690161,83.7200237442151,322.459628994044,361.752738660988,-141.425344148191,149.670833993507,291.975198031822,-22.5664572836266,-23.5209111723734,-180.730418618911,-32.0136025801735,207.610791635261,132.234689208351,64.2791479733662,146.263137535965,-117.596917623172,36.8597070740397,-39.0727835563461,94.8943893629586,93.6853605287135,-7.89874081634698,117.255336422549,87.3351387865488,4.50209097432874e-12
"TP2_B_6",2,"B","6",76.5385592421156,140.654084476992,70.684424361065,278.304451103409,138.727724982917,34.1103635358152,2.27277376025204,231.381894087884,-199.710253467916,30.0848498958472,-254.418230136565,207.305681821124,-99.1262107547981,263.146779236072,84.433999082931,-620.816599627724,-190.095719728432,-204.437440431605,-61.3563009725157,-114.816873262259,-49.5591555413073,-113.27889487239,206.13202094476,-117.633921280555,-207.753534551231,-5.27284746400415,-93.3377840176657,9.22199823326953,394.393116000383,231.755558047296,37.0920676999885,-318.38091887314,-64.2139987942005,154.264624426756,-388.960810265049,-56.5258008942913,-230.511265005392,-46.6396553834447,130.060014604287,64.4389650142479,27.0643562284338,-8.81760922194296,97.2949804202052,129.462321994518,-86.9071212093947,113.965056041393,77.637282159865,112.794669774145,32.4619212583848,-108.903188852631,-16.6521778123717,14.1391370644528,-109.535687688513,5.82333204740991,101.71135298736,-52.750211157682,-3.33973467836964,-86.6168575978281,9.65493700613718e-12
