"id.treat","test.treat","test.cage","chrom","median.target","median.matched","pval","FDR","sig","dynamic"
"Bloom","Apple","2","2R",-0.00247649999999998,0.00225765,0.987472772077863,0.987472772077863,"non-sig",NA
"Bloom","Apple","2","3L",0.00867200000000001,0.00348209999999999,0.480811047809082,0.480811047809082,"non-sig","non-sig"
"Bloom","Apple","2","3R",0.0406015,0.00367250000000002,9.46162552173822e-303,9.46162552173822e-303,"sig","parallel"
"Bloom","Apple","2","X",0.00276700000000002,0.0029945,0.161557833532794,0.161557833532794,"non-sig","non-sig"
"Bloom","Apple","3","2L",0.051199,0.0056997,0,0,"sig","parallel"
"Bloom","Apple","3","2R",0.050144,0.00472864,0,0,"sig","parallel"
"Bloom","Apple","3","3L",-0.006687,0.00402100000000005,7.8003757001485e-19,7.8003757001485e-19,"sig","fluctuating"
"Bloom","Apple","3","3R",0.00763154999999999,0.000896999999999998,5.30279557929545e-10,5.30279557929545e-10,"sig","parallel"
"Bloom","Apple","3","X",0.0134024,0.00507500000000005,1.64245940348663e-19,1.64245940348663e-19,"sig","parallel"
"Bloom","Apple","4","2L",0.0816417,0.00319900000000001,0,0,"sig","parallel"
"Bloom","Apple","4","2R",0.05413145,0.00117000000000001,0,0,"sig","parallel"
"Bloom","Apple","4","3L",0.03110969,0.0024927,1.22891973898906e-267,1.22891973898906e-267,"sig","parallel"
"Bloom","Apple","4","3R",0.0230721,0.00426900000000001,1.34614835704632e-130,1.34614835704632e-130,"sig","parallel"
"Bloom","Apple","4","X",0.0060013,0.003778,0.0044759279571289,0.0044759279571289,"sig","parallel"
"Bloom","Apple","5","2L",0.0216743,0.0045915,0,0,"sig","parallel"
"Bloom","Apple","5","2R",0.0236805,0.002051,8.223906556477e-243,8.223906556477e-243,"sig","parallel"
"Bloom","Apple","5","3L",0.025988,0.0021284,0,0,"sig","parallel"
"Bloom","Apple","5","3R",0.039216,0.0019004,0,0,"sig","parallel"
"Bloom","Apple","5","X",0.0195727,0.002579,1.30594182112344e-59,1.30594182112344e-59,"sig","parallel"
"Bloom","Apple","6","2L",0.020901,0.0040175,0,0,"sig","parallel"
"Bloom","Apple","6","2R",0.00857999999999998,0.00112075000000002,5.94782995036708e-31,5.94782995036708e-31,"sig","parallel"
"Bloom","Apple","6","3L",0.01552017,3.20000000000042e-05,3.91834375977763e-127,3.91834375977763e-127,"sig","parallel"
"Bloom","Apple","6","3R",0.0186115,0.0033165,3.96567401364606e-101,3.96567401364606e-101,"sig","parallel"
"Bloom","Apple","6","X",0.014949,0.000520800000000002,2.9075367014864e-54,2.9075367014864e-54,"sig","parallel"
