"Group2","Group","TP","Pheno.Treat","Cage","Cage.Pheno","LD","LDsd","LDse","LDm","LDmsd","LDmse","LDf","LDfsd","LDfse","SRM","SRMsd","SRMse","SRF","SRFsd","SRFse","Fec","Fecsd","Fecse","TOTF","TOTFsd","TOTFse","Viab","Viabsd","Viabse","BS","BSse"
"3-A1-aa","3-aa","3","a","A1","aa",236.524746866667,0.951189760278313,0.549169664147099,237.467580333333,3.00865476535043,1.73704763867372,236.295652166667,3.02763577911282,1.74800633207893,63.6,4.21426150114109,2.43310501211929,65.2,8.0299439599539,4.63609030685699,17.9533333333333,3.50651298776054,2.02448621740046,53.8666666666667,10.5191888153666,6.0732564942084,0.866666666666667,0.181475434517549,0.104774890970011,1201.480833,16.91929956
"3-A2-aa","3-aa","3","a","A2","aa",245.1814938,10.9876162426432,6.34370319544235,246.722932633333,17.0446267779924,9.84071985851062,242.877192966667,9.5955572064528,5.53999753616998,62.8,8.4,4.84974226119286,69.4666666666667,5.8560510015994,3.38099262216159,26.29,2.70634439789174,1.56250866664263,78.8666666666667,8.12239701894295,4.68946810535173,0.806666666666667,0.0757187779440037,0.04371625682868,1194.63,18.42178552
"3-A3-aa","3-aa","3","a","A3","aa",238.7783525,4.45301863052076,2.57095150503758,243.0493827,4.04032034428628,2.332680038386,234.338965666667,7.49220597498194,4.32562713647995,70.6666666666667,2.20302821891444,1.2719189352226,78.4,3.17490157327751,1.83303027798234,27.7566666666667,4.32232961877427,2.49549816892562,83.2666666666667,12.9558223719428,7.48004753401415,0.853333333333333,0.220302821891444,0.127191893522259,1198.5575,10.52139848
"3-A4-aa","3-aa","3","a","A4","aa",241.099738833333,2.93466941404534,1.69433217618164,238.847222233333,3.03275026962524,1.75095918455304,243.332400933333,5.31523761097874,3.0687538655054,66.4,5.2,3.00222139978606,63.2,4.1569219381653,2.4,18.8466666666667,1.25683464836602,0.72563382256097,56.5333333333333,3.76474877426546,2.17357871825348,0.873333333333333,0.170098010962308,0.0982061324177082,1199.644167,16.94216564
"3-A5-aa","3-aa","3","a","A5","aa",241.678004566667,2.05749793312262,1.18789698554544,242.541606533333,4.59046986253606,2.65030901084206,240.969230766667,2.37027948925011,1.3684815011732,65.7333333333333,6.5033324790705,3.75470075742099,71.0666666666667,9.29802846485927,5.3682192371193,21.4,8.02289847872949,4.63202259637551,64.2,24.0757139042646,13.9001199035596,0.94,0.0871779788708135,0.0503322295684717,1217.268333,10.9026846
"3-A6-aa","3-aa","3","a","A6","aa",237.960927966667,4.29551703177481,2.48001791460381,237.2250093,6.48600616733836,3.74469740667837,239.1898148,1.35673424991674,0.783310884408213,65.0666666666667,8.05315673095546,4.64949220644338,63.3333333333333,9.22893998969185,5.32833098738349,10.9333333333333,8.77873757059256,5.0684064995267,32.8,26.3461572150475,15.2109609602199,0.873333333333333,0.113724814061547,0.065659052011974,1224.7525,10.26558365
"3-B1-bb","3-bb","3","b","B1","bb",212.9163002,1.83892507836326,1.06170388901258,214.0228758,2.20106955770448,1.27078810164577,211.590828933333,1.5285542082564,0.882511183607767,53.7333333333333,2.01328918273887,1.16237305161085,47.2,0.400000000000002,0.230940107675852,46.6433333333333,12.2600013594344,7.07831508513463,139.933333333333,36.7838732780186,21.2371791389011,0.98,0.0346410161513776,0.02,1331.54,17.36328537
"3-B2-bb","3-bb","3","b","B2","bb",217.506960933333,2.39647784193089,1.38360712714577,218.0959795,2.6333367770067,1.52035769707176,216.8627451,2.06731796480852,1.19356658348275,52.4,5.2,3.00222139978605,54.2666666666667,1.66533279957291,0.961480340123731,47.22,6.34825172783815,3.66516484395086,141.666666666667,19.0424088112122,10.9941398531723,0.966666666666667,0.0577350269189626,0.0333333333333333,1302.45,11.14867447
"3-B3-bb","3-bb","3","b","B3","bb",219.682232266667,4.46714874154112,2.57910952843886,220.5079365,6.0484314052568,3.4920635,218.215498733333,2.80910004867427,1.62183466928268,51.3333333333333,1.89032625050104,1.09138036958299,52.4,1.83303027798234,1.05830052442584,50.7133333333333,9.69255556256106,5.59599956318003,152.133333333333,29.082870101373,16.7910028818346,1,0,0,1310.134167,11.12532958
"3-B4-bb","3-bb","3","b","B4","bb",216.6802071,5.84075758943436,3.37216296653128,219.254597266667,8.99226707647277,5.19168781722657,213.873015866667,2.54899090854633,1.47166058721113,51.0666666666667,1.8475208614068,1.06666666666667,49.0666666666667,1.61658075373095,0.933333333333332,54.87,12.2523467139973,7.07389567353096,164.6,36.7570401419918,21.2216870205929,0.926666666666667,0.127017059221718,0.0733333333333333,1305.721667,13.77344969
"3-B5-bb","3-bb","3","b","B5","bb",211.059649133333,0.601874586041187,0.347492454269274,212.088888866667,1.58199750932362,0.913366687865312,209.956862733333,2.29494204530885,1.32498540763366,53.6,3.48711915483254,2.01328918273887,44.5333333333333,1.6653327995729,0.961480340123729,51.0433333333333,2.37437009190508,1.3708432117172,153.133333333333,7.12834716700395,4.11555315574684,0.753333333333333,0.0503322295684717,0.0290593262902712,1314.425833,15.74104216
"3-B6-bb","3-bb","3","b","B6","bb",216.2712647,3.07495724630456,1.77532739390053,218.658874466667,3.79521347470808,2.1911675212548,213.5036075,2.31666186592761,1.33752535191465,49.3333333333333,4.20158700175699,2.42578738648803,52,1.6,0.923760430703402,37.31,8.94887143722604,5.16663333322581,111.933333333333,26.847967024215,15.5006809886247,1,0,0,1295.698333,8.508723227
"4-A1-aa","4-aa","4","a","A1","aa",229.4245359,4.28701113654619,2.47510703370387,231.780030733333,4.08543528659023,2.35872716246967,226.335555533333,4.44522382619402,2.56645117266125,39.2,8.90842298052804,5.14328040586291,42.2666666666667,9.54428275635908,5.51039421860582,9.1,2.73384344833423,1.57838525081806,27.3,8.20548596976437,4.73743953347516,0.88,0.105830052442584,0.0611010092660779,1253.573333,24.03689299
"4-A1-ab","4-ab","4","b","A1","ab",224.202765,1.6652212649729,0.961415945592392,225.9801642,2.17661509389547,1.25666931038275,222.6043952,4.35365613995324,2.51358454436107,42.6666666666667,6.21396277212322,3.58763307921966,57.3333333333333,10.653324989567,6.15070005049109,32.5333333333333,7.65808287584649,4.42139620984644,97.6,22.9817318755572,13.2685090847967,1,0,0,1266.969167,17.49263964
